ACCE_ABSORB_COST	Absorberrings pris: %d
TOOLTIP_COSTUME_ATTR_BONUS	Kostume bonus %d%%	SA
TOOLTIP_DAMAGE_HP_RECOVERY	Absorberer %d%% skade som HP	SA
TOOLTIP_DAMAGE_SP_RECOVERY	Absorberer %d%% skade som MP	SA
TOOLTIP_DEF_GRADE	Forsvar +%d	SA
TOOLTIP_DEX	Smidighed +%d	SA
TOOLTIP_DRAGON_SOUL_DECK1	Himmel	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Jord	SNA
TOOLTIP_DS_SET	DSS Satte Effekt	SNA
TOOLTIP_EAR	Ørering
TOOLTIP_ENERGY	Energi %d	SA
TOOLTIP_ETC	osv.
TOOLTIP_EXP_BONUS_EVENT	EXP +%d%%	SA
TOOLTIP_FIFTH_ATTRIBUTE_BONUS	5. bonus +%d%%	SA
TOOLTIP_FIRST_ATTRIBUTE_BONUS	1. bonus +%d%%	SA
TOOLTIP_FISHINGROD_EXP	Points: %d / %d
TOOLTIP_FISHINGROD_LEVEL	Level: %d
TOOLTIP_FISHINGROD_UPGRADE1	Giv til fiskeren
TOOLTIP_FISHINGROD_UPGRADE2	for at forbedre den
TOOLTIP_FISHINGROD_UPGRADE3	til en bedre fiskestang.
TOOLTIP_FISH_LEN	Længde: %.2fcm
TOOLTIP_FOURTH_ATTRIBUTE_BONUS	4. bonus +%d%%	SA
TOOLTIP_GUILD_SKILL_ACCEL	Acceleration +%d	SA
TOOLTIP_GUILD_SKILL_BLESS	Dragegudens velsignelse +%d	SA
TOOLTIP_GUILD_SKILL_BLOOD	Dragegudens blod +%d	SA
TOOLTIP_GUILD_SKILL_BUNNO	Dragegudens vrede +%d%%	SA
TOOLTIP_GUILD_SKILL_JUMUN	Magihjælp +%d%%	SA
TOOLTIP_GUILD_SKILL_SEONGHWI	Hellig rustning +%d	SA
TOOLTIP_HALLOWEEN_EVENT_BUFF	+20% EXP | +5% genstands fald | +10% styrke imod monstre	SNA
TOOLTIP_HELMET	Hjelm
TOOLTIP_HIT_BUFF_ENCHANT_DARK	Optjen Mørkets Kraft i %d sek. i kamp	SA
TOOLTIP_HIT_BUFF_ENCHANT_EARTH	Optjen Jordens Kraft i %d sek. i kamp	SA
TOOLTIP_HIT_BUFF_ENCHANT_ELEC	Optjen Lynets Kraft i %d sek. i kamp	SA
TOOLTIP_HIT_BUFF_ENCHANT_FIRE	Optjen Ildens Kraft i %d sek. i kamp	SA
TOOLTIP_HIT_BUFF_ENCHANT_ICE	Optjen Isens Kraft i %d sek. i kamp	SA
TOOLTIP_HIT_BUFF_ENCHANT_WIND	Optjen Vindens Kraft i %d sek. i kamp	SA
TOOLTIP_HIT_BUFF_RESIST_DARK	Optjen Mørkes Modstand i %d sek. i kamp	SA
TOOLTIP_HIT_BUFF_RESIST_EARTH	Optjen Jord Modstand i %d sek. i kamp	SA
TOOLTIP_HIT_BUFF_RESIST_ELEC	Optjen Lynmodstand i %d sek. i kamp	SA
TOOLTIP_HIT_BUFF_RESIST_FIRE	Optjen Ildmodstand i %d sek. i kamp	SA
TOOLTIP_HIT_BUFF_RESIST_ICE	Optjen Is Modstand i %d sek. i kamp	SA
TOOLTIP_HIT_BUFF_RESIST_WIND	Optjen Luft Modstand i %d sek. i kamp	SA
TOOLTIP_HP_REGEN	HP-regeneration +%d%%	SA
TOOLTIP_INT	Intelligens +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Angrebsværdi %d
TOOLTIP_ITEM_ATT_POWER	Angrebsværdi %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Angrebsværdi %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Angrebsværdi %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Angrebshastighed %s
TOOLTIP_ITEM_DEF_GRADE	Forsvar %d
TOOLTIP_ITEM_FAST	Hurtig
TOOLTIP_ITEM_LIMIT_CON	Maksimal Vitalitet: %d
TOOLTIP_ITEM_LIMIT_DEX	Smidigheds grænse: %d
TOOLTIP_ITEM_LIMIT_INT	Intelligens-grænse: %d
TOOLTIP_ITEM_LIMIT_LEVEL	Mindste lvl: %d
TOOLTIP_ITEM_LIMIT_STR	Styrke-grænse: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Magisk angrebsværdi %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Magisk angrebsværdi %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Magisk forsvar %d
TOOLTIP_ITEM_NORMAL	Normal
TOOLTIP_ITEM_SLOW	Langsom
TOOLTIP_ITEM_VERY_FAST	Meget hurtig
TOOLTIP_ITEM_VERY_SLOW	Meget langsom
TOOLTIP_ITEM_WEARABLE_JOB	[ Udrustning ]	
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Lykkental: %d
TOOLTIP_MAGIC_ATTBONUS_PER	Magisk angreb +%d%%	SA
TOOLTIP_MAGIC_ATT_GRADE	Magisk angrebsværdi +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Magisk forsvar +%d	SA
TOOLTIP_MALL_ATTBONUS	Angrebsværdi +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Angrebsværdi	SNA
TOOLTIP_MALL_AUTOLOOT	Automatisk samles alt Yang.	SNA
TOOLTIP_MALL_DEFBONUS	Forsvar +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Forsvar 	SNA
TOOLTIP_MALL_EXPBONUS	EXP +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe EXP-Bonus +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	50% mere EXP	SNA
TOOLTIP_MALL_FISH_MIND	Sandsynligheden at fange en fisk er øget	SNA
TOOLTIP_MALL_GOLDBONUS	Sandsynlighed for Yang er øget med %d%%	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Dobbelt Yang sandsynlighed	SNA
TOOLTIP_MALL_ITEMBONUS	Sandsynligheden for genstande er øget med %d%%	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	iCafe Chance for plyndring af genstande plus %.1f%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Genstands drop chancen bliver øget med 200%.	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Kærlighedspoints gendannes hurtigere.	SNA
TOOLTIP_MALL_SAFEBOX	Du har øget lastrummet i din kiste.	SNA
TOOLTIP_MAX_HP	Max. HP +%d	SA
TOOLTIP_MAX_HP_PCT	Max. HP +%d%%	SA
TOOLTIP_MAX_SP	Max. MP +%d	SA
TOOLTIP_MAX_SP_PCT	Max. MP +%d%%	SA
TOOLTIP_MAX_STAMINA	Max. udholdenhed +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Magisk/nærkamps angreb +%d%%	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS-FEJL (%d, %d)
TOOLTIP_MORE_THEN_HP90_DAMAGE_REDUCE	Indkommende skade er reduceret med %d%% hvis du har +90%% HP	SA
TOOLTIP_MOV_SPEED	Bevægelseshastighed %d%%	SA
TOOLTIP_NECK	Halskæde
TOOLTIP_NEED_ALL_SP	Kræver MP: Max.
TOOLTIP_NEED_GSP	Kræver drageånd: %d
TOOLTIP_NEED_HP	Kræver HP: %d
TOOLTIP_NEED_HP_PER_SEC	HP / Sek.: %d
TOOLTIP_NEED_SKILL_POINT	Kræver færdighedspoints:
TOOLTIP_NEED_SP	Kræver MP: %d
TOOLTIP_NEED_SP_PER_SEC	MP / Sek.: %d
TOOLTIP_NEXT_SKILL_LEVEL_1	Næste Level: %d (Max. %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	Næste Level: %d (Max. %d-%d)
TOOLTIP_NORMAL_DAMAGE_GUARD	%d%% chance for at blokere angrebs skade	SA
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Gennemsnitlig skade %d%%	SA
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS_BOSS_OR_MORE	+%d%% angrebs skade imod bosser	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Gennemsnitlig skadesmodstand %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS_BOSS_OR_MORE	-%d%% angrebs skade fra bosser	SA
TOOLTIP_PARTY_INFO_GRADE_UP1	Flere end %d gruppemedlemmer
TOOLTIP_PARTY_INFO_GRADE_UP2	Angrebslevel +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	Forsvarslevel +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	HP/MP fra alle gruppemedlemmer gendannes engang i 60 minutter.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	HP/MP fra alle gruppemedlemmer gendannes engang i 30 minutter.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Du bliver nød til at vente tre minutter efter gruppemedlemmets død.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Du kan til enhver tid påkalde gruppemedlemmer fra samme server.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Angrebslevel +(Antal af gruppemedlemmer/2) angriber %d kan vælges
TOOLTIP_PARTY_INFO_SET_TANKER	Forsvars level +(antallet af gruppemedlemmer) nærkæmpere 1 kan blive valgt.
TOOLTIP_PARTY_SKILL_LEVEL	Level: %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[Angreb/Forsvar blev forbedret]
TOOLTIP_PARTY_TITLE_HEAL	[Gendan]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Flere end %d gruppemedlemmer får bonus-EXP %d%%.
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Bonus-EXP]
TOOLTIP_PARTY_TITLE_RECALL	[Kald på]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Definer angriber]
TOOLTIP_PARTY_TITLE_SET_TANKER	[Indstil til nærkamp]
TOOLTIP_PEPSI_EVENT	5% EXP bonus og 5% øget chance for plyndring af genstande.	SNA
TOOLTIP_PICK_EXP	Points: %d / %d
TOOLTIP_PICK_LEVEL	Level: %d
TOOLTIP_PICK_UPGRADE1	Giv til brændehuggeren
TOOLTIP_PICK_UPGRADE2	for at få en bedre
TOOLTIP_PICK_UPGRADE3	Spidshakke.
TOOLTIP_POTION_CURE	Fjern negative effekter.
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Angrebshastighed +%d
TOOLTIP_POTION_PLUS_ATTBONUS_MONSTER	ANG BONUS MONSTER: +%d%%
TOOLTIP_POTION_PLUS_ATT_POINT	ANG: +%d
TOOLTIP_POTION_PLUS_ATT_POINT_PER	ANG: +%d%%
TOOLTIP_POTION_PLUS_DEF_POINT	FOR: +%d
TOOLTIP_POTION_PLUS_DEX_POINT	DEX: +%d
TOOLTIP_POTION_PLUS_EXP_BONUS	EXP: +%d%%
TOOLTIP_POTION_PLUS_HIT_DEFEND_POINT	SKADE MODSTAND: +%d%%
TOOLTIP_POTION_PLUS_HP_PERCENT	HP +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	HP +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Bevægelseshastighed +%d
TOOLTIP_POTION_PLUS_RESIST_DARK	MØRKE MODSTAND: +%d%%
TOOLTIP_POTION_PLUS_RESIST_EARTH	JORD MODSTAND: +%d%%
TOOLTIP_POTION_PLUS_RESIST_ICE	IS MODSTAND: +%d%%
TOOLTIP_POTION_PLUS_RESIST_MAGIC	MAGISK MODSTAND: +%d%%
TOOLTIP_POTION_PLUS_SP_PERCENT	MP +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	MP +%d
TOOLTIP_POTION_PLUS_STR_POINT	STR: +%d
TOOLTIP_POTION_SEC	Sek.
TOOLTIP_POTION_TIME	Længde:
TOOLTIP_PVP_TOURNAMENT_ENTER	Tilmeld dig PvP Turneringen
TOOLTIP_PVP_TOURNAMENT_EXPBONUS	PvP Turnerings EXP +%d%%	SA
TOOLTIP_REQUIREMENT_21_LEVEL	Du skal have opnået level 21.
TOOLTIP_REQUIREMENT_41_LEVEL	Du skal have opnået level 41.
TOOLTIP_REQUIREMENT_LEVEL	Du skal have opnået Level %d.
TOOLTIP_REQUIREMENT_SKILL_LEVEL	Kræver %s Level %d
TOOLTIP_REQUIREMENT_STAT_LEVEL	Kræver %s %d
TOOLTIP_RESIST_BOW	Pil Forsvar %d%%	SA
TOOLTIP_RESIST_DARK	Forsvar mod mørke +%d%%	SA
TOOLTIP_RESIST_EARTH	Forsvar mod Jorden +%d%%	SA
TOOLTIP_RESIST_ELEC	Lynmodstand %d%%	SA
TOOLTIP_RESIST_FIRE	Ildmodstand %d%%	SA
TOOLTIP_RESIST_ICE	Forsvar mod is +%d%%	SA
TOOLTIP_RESIST_MAGIC	Magimodstand %d%%	SA
TOOLTIP_RESIST_MAGIC_REDUCTION	Magisk gennemtrængning for %d%%	SA
TOOLTIP_REST_USABLE_COUNT	Til overs: %d
TOOLTIP_SEALED	Sjælebundet
TOOLTIP_SEASON_PVE_BUFF	Øger PvE skaden med 80% i 10 min.	SNA
TOOLTIP_SEASON_RANKING_BUFF	Øger rang point med 20% i 10 min.	SNA
TOOLTIP_SECOND_ATTRIBUTE_BONUS	2. bonus +%d%%	SA
TOOLTIP_SELLPRICE	Pris: %s
TOOLTIP_SET_ITEM	Sæt-Bonus	SNA
TOOLTIP_SHAMAN	Shaman
TOOLTIP_SHIELD	Skjold
TOOLTIP_SHOES	Sko
TOOLTIP_SKILL	Færdighed	SNA
TOOLTIP_SKILLBOOK_NAME	Færdighedsbog
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Angrebsværdi: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Angrebsværdi:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Angrebshastighed: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Forsvar:
TOOLTIP_SKILL_AFFECT_DODGE	Fjendtlig Angrebsværdi: -
TOOLTIP_SKILL_AFFECT_HEAL	HP gendannelse:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Bevægelseshastighed: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Sandsynligheden for at reflektere fysisk skade:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Modstand mod fysisk skade:
TOOLTIP_SKILL_COOL_TIME	Opladningstid: 
TOOLTIP_SKILL_DAMAGE_AMSEOP	Bagholdsangrebs Skade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_BIPABU	Flyvende Talismans Skade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_BONUS	Færdighedsskade %d%%	SA
TOOLTIP_SKILL_DAMAGE_BONUS_BOSS_OR_MORE	+%d%% færdigheds skade imod bosser	SA
TOOLTIP_SKILL_DAMAGE_BYEURAK	Lynbesværgelses Skade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_CHAIN	Lynklos Skade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_CHARYUN	Rullende Dolks Skade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_CHAYEOL	Riv Skade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_GEOMPUNG	Sværdstøds Skade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_GIGONGCHAM	Åndeslags (K) Skade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_GIGUNG	Gift Pils Skade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_GONGDAB	Ulve Springs Skade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_GUNGSIN	Hurtigt Angrebs Skade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_GYOKSAN	Støds Skade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_HWAJO	Ildpils Skade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_HWAYEOMPOK	Ild Støds Skade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_KWANKYEOK	Pil Regns Skade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_MAHWAN	Mørk Stens Skade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_MARYUNG	Mørkt Støds Skade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_NOEJEON	Lynkasts Skade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_PABEOB	Magi fjerners Skade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_PAERYONG	Dragens Brøls Skade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_PALBANG	Sværd-hvirvel Skade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_PASWAE	Ulvekløers Skade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_SALPOONG	Ulvens Åndes Skade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_SAMYEON	Tre-Vejs Snits Skade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_SANGONG	Giftskys Skade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_SWAERYUNG	Fingerangrebs Skade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_TANHWAN	Susens Skade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_YEONSA	Gentagende Skuds Skade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_YONGBI	Skydende Drages Skade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_YONGKWON	Drage Hvirvels Skade +%d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Modstand mod færdighedsskade %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS_BOSS_OR_MORE	-%d%% færdigheds skade fra bosser	SA
TOOLTIP_SKILL_DURATION	Varighed: %d sek.
TOOLTIP_SKILL_DURATION_INCREASE_EUNHYUNG	Camouflerings Varighed +%d sek.	SA
TOOLTIP_SKILL_DURATION_INCREASE_GEOMKYUNG	Sværdens Auras Varighed +%d sek.	SA
TOOLTIP_SKILL_DURATION_INCREASE_GYEONGGONG	Fjervandrings Varighed +%d sek.	SA
TOOLTIP_SKILL_DURATION_INCREASE_JEOKRANG	Højrød Ulve Sjæls Varighed +%d sek.	SA
TOOLTIP_SKILL_FORGET_BOOK_NAME	Forglemmelses bog
TOOLTIP_SKILL_LEVEL	Level: %d
TOOLTIP_SKILL_LEVEL_MASTER	Level: %d (mester)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Level: %d (Max. %d)
TOOLTIP_SOCKET_EMPTY	Tom
TOOLTIP_SOCKET_REFINABLE_ITEM	[Genstand med indfatning]
TOOLTIP_SP_REGEN	MP-Regeneration +%d%%	SA
TOOLTIP_STR	Styrke +%d	SA
TOOLTIP_SURA	Sura
TOOLTIP_THIRD_ATTRIBUTE_BONUS	3. bonus +%d%%	SA
TOOLTIP_TIME_CHARGER_FIX	Opladning af tid %d sek.	SA
TOOLTIP_TIME_CHARGER_PER	Opladning af tid %d sek.	SA
TOOLTIP_UNIQUE	Enestående
TOOLTIP_UNSEAL_LEFT_TIME	Fjerner sjælebinding om: %dH %dM
TOOLTIP_USE_SKILL_AMSEOP_HP_ABSORB	Absorberer %d%% HP med Bagholdsangreb	SA
TOOLTIP_USE_SKILL_BIPABU_NEXT_COOLTIME_DECREASE_10PER	Flyvende Talismans Nedkøling: -%d sek. med 10%% chance	SA
TOOLTIP_USE_SKILL_BIPABU_NEXT_COOLTIME_DECREASE_20PER	Flyvende Talismans Nedkøling: -%d sek. med 20%% chance	SA
TOOLTIP_USE_SKILL_BYEURAK_HP_ABSORB	Absorber op til %d%% HP med Lynbesværgelse	SA
TOOLTIP_USE_SKILL_CHAIN_HP_ABSORB	Absorberer %d%% HP med Lynklo	SA
TOOLTIP_USE_SKILL_CHARYUN_STUN	%d%% lammelses chance med Rullende Dolk	SA
TOOLTIP_USE_SKILL_CHAYEOL_CRITICAL_PCT	Øget sandsynlighed for kritiske angreb i %d sek. med Riv	SA
TOOLTIP_USE_SKILL_CHAYEOL_HP_ABSORB	Absorberer %d%% HP med Riv	SA
TOOLTIP_USE_SKILL_CHEONGRANG_CASTING_SPEED	Øget tryllehastighed i %d sek. med Indigo Ulve Sjæl	SA
TOOLTIP_USE_SKILL_CHEONGRANG_MOV_SPEED	Øget bevægelseshastighed i %d sek. med Indigo Ulve Sjæl	SA
TOOLTIP_USE_SKILL_CHUNKEON_CASTING_SPEED	Øget tryllehastighed i %d sek. med Stærk Krop	SA
TOOLTIP_USE_SKILL_GEOMPUNG_NEXT_COOLTIME_DECREASE_10PER	Sværdstøds Nedkøling: -%d sek. med 10%% chance	SA
TOOLTIP_USE_SKILL_GEOMPUNG_NEXT_COOLTIME_DECREASE_20PER	Sværdstøds Nedkøling: -%d sek. med 20%% chance	SA
TOOLTIP_USE_SKILL_GICHEON_ATT_GRADE_BONUS	Angrebs bonus i %d sek. med Dragens Hjælp	SA
TOOLTIP_USE_SKILL_GIGONGCHAM_STUN	%d%% lammelses chance med Åndeslag (K)	SA
TOOLTIP_USE_SKILL_GIGUNG_ATT_GRADE_BONUS	Angrebs bonus i %d sek. med Gift Pil	SA
TOOLTIP_USE_SKILL_GIHYEOL_ATT_GRADE_BONUS	Angrebs bonus i %d sek. med Livskraft	SA
TOOLTIP_USE_SKILL_GONGDAB_KNOCKBACK	%d%% tilbageslags chance med Ulve Spring	SA
TOOLTIP_USE_SKILL_GONGDAB_STUN	%d%% lammelses chance med Ulve Spring	SA
TOOLTIP_USE_SKILL_GUNGSIN_NEXT_COOLTIME_DECREASE_10PER	Hurtigt Angrebs Nedkøling: -%d sek. med 10%% chance	SA
TOOLTIP_USE_SKILL_GUNGSIN_NEXT_COOLTIME_DECREASE_20PER	Hurtigt Angrebs Nedkøling: -%d sek. med 20%% chance	SA
TOOLTIP_USE_SKILL_GWIGEOM_DEF_BONUS	Forsvars bonus i %d sek. med Fortryllede Klinge	SA
TOOLTIP_USE_SKILL_GYOKSAN_KNOCKBACK	%d%% tilbageslags chance med Voldsomme stød	SA
TOOLTIP_USE_SKILL_HOSIN_DEF_BONUS	Forsvars bonus i %d sek. med Velsignelse	SA
TOOLTIP_USE_SKILL_HWAYEOMPOK_KNOCKBACK	%d%% tilbageslags chance med Ild Stød	SA
TOOLTIP_USE_SKILL_JEOKRANG_DEF_BONUS	Forsvars bonus i %d sek. med Højrød Ulve Sjæl	SA
TOOLTIP_USE_SKILL_JEONGEOP_ATT_GRADE_BONUS	Angrebs bonus i %d sek. med Helbred	SA
TOOLTIP_USE_SKILL_JEUNGRYEOK_DEF_BONUS	Forsvars bonus i %d sek. med Angreb Op	SA
TOOLTIP_USE_SKILL_KWANKYEOK_KNOCKBACK	%d%% tilbageslags chance med Pil Regn	SA
TOOLTIP_USE_SKILL_KWANKYEOK_NEXT_COOLTIME_DECREASE_10PER	Pil Regns Nedkøling: -%d sek. med 10%% chance	SA
TOOLTIP_USE_SKILL_KWANKYEOK_NEXT_COOLTIME_DECREASE_20PER	Pil Regns Nedkøling: -%d sek. med 20%% chance	SA
TOOLTIP_USE_SKILL_MAHWAN_STUN	%d%% lammelses chance med Mørk Sten	SA
TOOLTIP_USE_SKILL_MANASHILED_CASTING_SPEED	Øget tryllehastighed i %d sek. med Mørk Beskyttelse	SA
TOOLTIP_USE_SKILL_MARYUNG_NEXT_COOLTIME_DECREASE_10PER	Mørkt Støds Nedkøling: -%d sek. med 10%% chance	SA
TOOLTIP_USE_SKILL_MARYUNG_NEXT_COOLTIME_DECREASE_20PER	Mørkt Støds Nedkøling: -%d sek. med 20%% chance	SA
TOOLTIP_USE_SKILL_MUYEONG_ATT_GRADE_BONUS	Angrebs bonus i %d sek. med Ild Ånden	SA
TOOLTIP_USE_SKILL_NOEGEOM_ATT_GRADE_BONUS	Angrebs bonus i %d sek. med Sværd Kuglen	SA
TOOLTIP_USE_SKILL_NOEJEON_NEXT_COOLTIME_DECREASE_10PER	Lynkasts Nedkøling: -%d sek. med 10%% chance	SA
TOOLTIP_USE_SKILL_NOEJEON_NEXT_COOLTIME_DECREASE_20PER	Lynkasts Nedkøling: -%d sek. med 20%% chance	SA
TOOLTIP_USE_SKILL_PABEOB_STUN	%d%% lammelses chance med Magi fjerner	SA
TOOLTIP_USE_SKILL_PAERYONG_HP_ABSORB	Absorberer %d%% HP med Dragens Brøl	SA
TOOLTIP_USE_SKILL_PALBANG_HP_ABSORB	Absorberer %d%% HP med Sværd-hvirvel	SA
TOOLTIP_USE_SKILL_PASWAE_NEXT_COOLTIME_DECREASE_10PER	Ulvekløers Nedkøling: -%d sek. med 10%% chance	SA
TOOLTIP_USE_SKILL_PASWAE_NEXT_COOLTIME_DECREASE_20PER	Ulvekløers Nedkøling: -%d sek. med 20%% chance	SA
TOOLTIP_USE_SKILL_PASWAE_SP_ABSORB	Absorberer %d%% MP med Ulvekløer	SA
TOOLTIP_USE_SKILL_SALPOONG_NEXT_COOLTIME_DECREASE_10PER	Ulvens Ånde Nedkøling: -%d sek. med 10%% chance	SA
TOOLTIP_USE_SKILL_SALPOONG_NEXT_COOLTIME_DECREASE_20PER	Ulvens Ånde Nedkøling: -%d sek. med 20%% chance	SA
TOOLTIP_USE_SKILL_SAMYEON_NEXT_COOLTIME_DECREASE_10PER	Tre-Vejs Snits Nedkøling: -%d sek. med 10%% chance	SA
TOOLTIP_USE_SKILL_SAMYEON_NEXT_COOLTIME_DECREASE_20PER	Tre-Vejs Snits Nedkøling: -%d sek. med 20%% chance	SA
TOOLTIP_USE_SKILL_SAMYEON_STUN	%d%% lammelses chance med Tre-Vejs Snit	SA
TOOLTIP_USE_SKILL_SANGONG_ATT_GRADE_BONUS	Angrebs bonus i %d sek. med Giftsky	SA
TOOLTIP_USE_SKILL_SEOMJEON_KNOCKBACK	%d%% tilbageslags chance med Lumsk Gift	SA
TOOLTIP_USE_SKILL_SWAERYUNG_KNOCKBACK	%d%% tilbageslags chance med Fingerangreb	SA
TOOLTIP_USE_SKILL_TERROR_ATT_GRADE_BONUS	Angrebs bonus i %d sek. med Frygt	SA
TOOLTIP_USE_SKILL_TUSOK_HP_ABSORB	Absorberer %d%% HP med Åndeslag (L)	SA
TOOLTIP_USE_SKILL_YEONSA_HP_ABSORB	Absorberer %d%% HP med Gentagende Skud	SA
TOOLTIP_USE_SKILL_YONGBI_HP_ABSORB	Absorberer %d%% HP med Skydende Drage	SA
TOOLTIP_USE_SKILL_YONGKWON_NEXT_COOLTIME_DECREASE_10PER	Drage Hvirvels Nedkøling: -%d sek. med 10%% chance	SA
TOOLTIP_USE_SKILL_YONGKWON_NEXT_COOLTIME_DECREASE_20PER	Drage Hvirvels Nedkøling: -%d sek. med 20%% chance	SA
TOOLTIP_WARRIOR	Kriger
TOOLTIP_WEAPON	Våben
TOOLTIP_WOLFMAN	Lycan
TOOLTIP_WRISTLET	Armbånd
UI_ACCEPT	Accepter
UI_BOLD_FONT	Tahoma:12b
UI_CANCEL	Afbryd
UI_CLOSE	Luk
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	Afvise
UI_ITEM	Genstand
UI_LEFT_TIME	Tid til overs: %d Sek.
UI_NEXT	Fortsæt
UI_NEXTPAGE	Næste
UI_NOCONTENTS	Intet indhold
UI_NONAME	Intet navn
UI_OK	OK
UI_POS_UNKNOWN	Ukendt position
UI_PREVPAGE	tilbage
UI_UNKNOWN	Ukendt
UNLIMIT_ENTER_CZ_QUESTION	Du kan gå ind i Zodiac Templet i %d min. Ønsker du at bruge det?
UPDATE_TIME	Dato
UPLOAD_MARK_CHECK_NEED_RECONNECT	Upload skal genstartes
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	Upload skal genstartes
USE_ITEM_BUTTON_01	Vend Tilbage Nu
USE_ITEM_BUTTON_02	Træd ind
