ACCE_ABSORB_COST	Absorberingsprijs: %d
TOOLTIP_APPLY_ENCHANT_FIRE	Kracht van Vuur +%d%%	SA
TOOLTIP_APPLY_ENCHANT_FIRE2	Kracht van Vuur +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_ICE	Kracht van IJs +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ICE2	Kracht van IJs +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_WIND	Kracht van de Wind +%d%%	SA
TOOLTIP_APPLY_ENCHANT_WIND2	Kracht van de Wind +%d%% - +%d%%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% Kans op ERV Bonus	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% Kans om dubbele Yang te laten vallen	SA
TOOLTIP_APPLY_IMMUNE_FALL	Immuun tegen neervallen	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Verdediging tegen langzaam maken	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Verdediging tegen blackouts	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% Kans om dubbel zo veel Voorwerpen te laten vallen	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% Kans om LP te herstellen	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% Kans om TP te herstellen	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% Kans om de TP van de vijand te nemen	SA
TOOLTIP_APPLY_MAX_HP_PCT	Max. LP +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Max. TP +%d%%	SA
TOOLTIP_APPLY_NOAFFECT	Geen effect	
TOOLTIP_APPLY_NO_DEATH_PENALTY	Er zullen geen ervaringspunten verloren gaan wanneer je karakter tot leven is gewekt op de plek van zijn dood	SNA
TOOLTIP_APPLY_NO_DEATH_PENALTY_PLUS	De Draken God neemt je onder zijn beschermende vleugels. Als je opnieuw tot leven gewekt wordt aan boord, verlies je geen ervaringspunten.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% Kans op Penetrerende Schoten	SA
TOOLTIP_APPLY_POISON_PCT	Vergiftigings Kans: %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Vergif Weerstand: %d%% 	SA
TOOLTIP_APPLY_POTION_BONUS	Brouwsel %d%% effect verhoging	SA
TOOLTIP_APPLY_REFLECT_CURSE	Kans om vloek te weerkaatsen: %d%% 	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% Kans om directe lichaam slag te weerkaatsen	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Verdedigings kans tegen Ninja aanvallen: %d%% 	SA
TOOLTIP_APPLY_RESIST_BELL	Bel Verdediging %d%% 	SA
TOOLTIP_APPLY_RESIST_CLAW	Klauwverdediging +%d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Mes Verdediging %d%% 	SA
TOOLTIP_APPLY_RESIST_FAN	Waaier Verdediging %d%% 	SA
TOOLTIP_APPLY_RESIST_HUMAN	Weerstand tegen Halfmensen %d%%	SA
TOOLTIP_APPLY_RESIST_MOUNT_FALL	Valweerstand +%d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Verdedigings Kans tegen Sjamaam aanvallen: %d%% 	SA
TOOLTIP_APPLY_RESIST_SURA	Verdedigings Kans tegen Sura aanvallen: %d%% 	SA
TOOLTIP_APPLY_RESIST_SWORD	Zwaard Verdediging %d%% 	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Twee-Handig Verdediging %d%% 	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Verdediging Kans tegen Krijger aanvallen: %d%% 	SA
TOOLTIP_APPLY_RESIST_WIND	Wind Weerstand %d%% 	SA
TOOLTIP_APPLY_RESIST_WOLFMAN	Verdedigingskans tegen Lycaan Aanvallen + %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Kans om van boeken te leren verhoogd met factor 2.5	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Als leren faalt wordt de Gemene Geest Vloek opgeheven.	SNA
TOOLTIP_APPLY_SLOW_PCT	Langzaam maken Kans: %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% Schade zal geabsorbeerd worden door LP.	SA
TOOLTIP_APPLY_STEAL_SP	%d%% Schade zal geabsorbeerd worden door TP	SA
TOOLTIP_APPLY_STUN_PCT	Kans op Blackout: %d%%	SA
TOOLTIP_ARMOR	Pantser	
TOOLTIP_ARROW	Pijl	
TOOLTIP_ASSASSIN	Ninja	
TOOLTIP_ATTBONUS_STONE	+%d%% kracht tegen Metin stenen	SA
TOOLTIP_ATT_GRADE	Aanvals waarde +%d	SA
TOOLTIP_ATT_SPEED	Aanvals Snelheid +%d	SA
TOOLTIP_ATT_SPEED_SLOW	Aanvalssnelheid verminderd	SNA
TOOLTIP_AUTO_POTION_HP	Zon Elixer
TOOLTIP_AUTO_POTION_REST	Resterend: %.2f%%
TOOLTIP_AUTO_POTION_SP	Maan Elixer
TOOLTIP_AUTO_POTION_USING	Actief
TOOLTIP_AUTO_SYSTEM_PRIMIUM	Auto-Jacht	SNA
TOOLTIP_BATTLE_POTION	Strijd Zone Gevechtsdrankje	SNA
TOOLTIP_BOW_DISTANCE	Boog Bereik +%dm	SA
TOOLTIP_BUYPRICE	Prijs: %s	
TOOLTIP_CAST_SPEED	Spreuksnelheid: +%d%%	SA
TOOLTIP_CON	Vitaliteit +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Kostuum bonus %d%%	SA
TOOLTIP_DAMAGE_HP_RECOVERY	Absorbeert %d%% schade als LP	SA
TOOLTIP_DAMAGE_SP_RECOVERY	Absorbeert %d%% schade als TP	SA
TOOLTIP_DEF_GRADE	Verdediging +%d	SA
TOOLTIP_DEX	Behendigheid +%d	SA
TOOLTIP_DRAGON_SOUL_DECK1	Lucht	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Aarde	SNA
TOOLTIP_DS_SET	DSS Set Effect	SNA
TOOLTIP_EAR	Oorbel	
TOOLTIP_ENERGY	Energie %d	SA
TOOLTIP_ETC	En zo voorts	
TOOLTIP_EXP_BONUS_EVENT	ERV +%d%%	SA
TOOLTIP_FIFTH_ATTRIBUTE_BONUS	5de bonus +%d%%	SA
TOOLTIP_FIRST_ATTRIBUTE_BONUS	1ste bonus +%d%%	SA
TOOLTIP_FISHINGROD_EXP	Punten  %d / %d	
TOOLTIP_FISHINGROD_LEVEL	Level: %d	
TOOLTIP_FISHINGROD_UPGRADE1	Geef het aan de Visser
TOOLTIP_FISHINGROD_UPGRADE2	om een betere
TOOLTIP_FISHINGROD_UPGRADE3	Vis Hengel te krijgen.
TOOLTIP_FISH_LEN	Lengte: %.2fcm	
TOOLTIP_FOURTH_ATTRIBUTE_BONUS	4de bonus +%d%%	SA
TOOLTIP_GUILD_SKILL_ACCEL	Versnelling +%d	SA
TOOLTIP_GUILD_SKILL_BLESS	Zegening van de Draken God +%d	SA
TOOLTIP_GUILD_SKILL_BLOOD	Bloed van de Draken God +%d	SA
TOOLTIP_GUILD_SKILL_BUNNO	Wraak van de Draken God +%d%%	SA
TOOLTIP_GUILD_SKILL_JUMUN	Tover Hulp +%d%%	SA
TOOLTIP_GUILD_SKILL_SEONGHWI	Heilig Pantser +%d	SA
TOOLTIP_HALLOWEEN_EVENT_BUFF	+20% ERV | +5% item drops | +10% kracht tegen monsters	SNA
TOOLTIP_HELMET	Helm	
TOOLTIP_HIT_BUFF_ENCHANT_DARK	Ontvang Kracht van Duisternis gedurende %d sec. tijdens een gevecht	SA
TOOLTIP_HIT_BUFF_ENCHANT_EARTH	Ontvang Kracht van Aarde gedurende %d sec. tijdens een gevecht	SA
TOOLTIP_HIT_BUFF_ENCHANT_ELEC	Ontvang Kracht van Bliksem gedurende %d sec. tijdens een gevecht	SA
TOOLTIP_HIT_BUFF_ENCHANT_FIRE	Ontvang Kracht van Vuur gedurende %d sec. tijdens een gevecht	SA
TOOLTIP_HIT_BUFF_ENCHANT_ICE	Ontvang Kracht van IJs gedurende %d sec. tijdens een gevecht	SA
TOOLTIP_HIT_BUFF_ENCHANT_WIND	Ontvang Kracht van Wind gedurende %d sec. tijdens een gevecht	SA
TOOLTIP_HIT_BUFF_RESIST_DARK	Ontvang Duisternis Weerstand gedurende %d sec. tijdens een gevecht	SA
TOOLTIP_HIT_BUFF_RESIST_EARTH	Ontvang Aarde Weerstand gedurende %d sec. tijdens een gevecht	SA
TOOLTIP_HIT_BUFF_RESIST_ELEC	Ontvang Bliksem Weerstand gedurende %d sec. tijdens een gevecht	SA
TOOLTIP_HIT_BUFF_RESIST_FIRE	Ontvang Vuur Weerstand gedurende %d sec. tijdens een gevecht	SA
TOOLTIP_HIT_BUFF_RESIST_ICE	Ontvang IJs Weerstand gedurende %d sec. tijdens een gevecht	SA
TOOLTIP_HIT_BUFF_RESIST_WIND	Ontvang Wind Weerstand gedurende %d sec. tijdens een gevecht	SA
TOOLTIP_HP_REGEN	LP Regeneratie +%d%%	SA
TOOLTIP_INT	Intelligentie +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Aanvals Waarde %d	
TOOLTIP_ITEM_ATT_POWER	Aanvals Waarde %d - %d	
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Aanvals Waarde %d	
TOOLTIP_ITEM_ATT_POWER_REFINE	Aanvals Waarde %d - %d (+%d)	
TOOLTIP_ITEM_ATT_SPEED	Aanvals Snelheid %s	
TOOLTIP_ITEM_DEF_GRADE	Verdediging %d	
TOOLTIP_ITEM_FAST	Snel	
TOOLTIP_ITEM_LIMIT_CON	Vitaliteits bovengrens: %d
TOOLTIP_ITEM_LIMIT_DEX	Behendigheids bovengrens: %d
TOOLTIP_ITEM_LIMIT_INT	Intelligentie Boven Limiet: %d	
TOOLTIP_ITEM_LIMIT_LEVEL	Van Level: %d	
TOOLTIP_ITEM_LIMIT_STR	Kracht Boven Limiet: %d	
TOOLTIP_ITEM_MAGIC_ATT_POWER	Magische Aanvals Waarde %d - %d	
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Magische Aanvals Waarde %d	
TOOLTIP_ITEM_MAGIC_DEF_POWER	Magische Verdediging %d	
TOOLTIP_ITEM_NORMAL	Normaal	
TOOLTIP_ITEM_SLOW	Langzaam	
TOOLTIP_ITEM_VERY_FAST	Heel snel	
TOOLTIP_ITEM_VERY_SLOW	Heel langzaam	
TOOLTIP_ITEM_WEARABLE_JOB	[ Draagbaar ]	
TOOLTIP_LOTTERY_STEP_NUMBER	%d	
TOOLTIP_LOTTO_NUMBER	Geluks Nummer: %d	
TOOLTIP_MAGIC_ATTBONUS_PER	Magische aanval +%d%%	SA
TOOLTIP_MAGIC_ATT_GRADE	Magische Aanvals Waarde +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Magische Verdediging +%d	SA
TOOLTIP_MALL_ATTBONUS	Aanvals Waarde +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Aanvalswaarde	SNA
TOOLTIP_MALL_AUTOLOOT	Een hand die automatisch gevallen Yang opraapt.	SNA
TOOLTIP_MALL_DEFBONUS	Verdediging +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Verdediging 	SNA
TOOLTIP_MALL_EXPBONUS	ERV +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe ERV Bonus +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	Verhoogt ontvangen ERV met 50%	SNA
TOOLTIP_MALL_FISH_MIND	Je kans om een zeldzame vis te vangen is verdubbeld.	SNA
TOOLTIP_MALL_GOLDBONUS	Kans om Yang buit te maken verhoogd met %d%%	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Dubbele Yang drop-kans	SNA
TOOLTIP_MALL_ITEMBONUS	Kans om items buit te maken verhoogd met %d%%	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	iCafe Kans op buitmaken van items plus %.1f%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Item drop-kans verhoogt met 200%.	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Liefdespunten verhogen sneller.	SNA
TOOLTIP_MALL_SAFEBOX	Je opslag krijgt 2 opslag ruimtes	SNA
TOOLTIP_MAX_HP	Max. LP +%d	SA
TOOLTIP_MAX_HP_PCT	Max. LP +%d%%	SA
TOOLTIP_MAX_SP	Max. TP +%d	SA
TOOLTIP_MAX_SP_PCT	Max. TP +%d%%	SA
TOOLTIP_MAX_STAMINA	Max. Uithoudingsvermogen +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Magische/fysieke aanval +%d%%	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)	
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS ERROR(%d, %d)	
TOOLTIP_MORE_THEN_HP90_DAMAGE_REDUCE	Ontvangen schade wordt verminderd met %d%% als je +90%% LP hebt	SA
TOOLTIP_MOV_SPEED	Beweeg Snelheid %d%%	SA
TOOLTIP_NECK	Ketting	
TOOLTIP_NEED_ALL_SP	Benodigde TP: Max.	
TOOLTIP_NEED_GSP	Benodigde Drankengeest: %d
TOOLTIP_NEED_HP	Benodigde LP: %d	
TOOLTIP_NEED_HP_PER_SEC	LP / Sec.: %d
TOOLTIP_NEED_SKILL_POINT	Benodigde vaardigheidspunten:	
TOOLTIP_NEED_SP	Benodigde TP: %d	
TOOLTIP_NEED_SP_PER_SEC	TP / Sec.: %d
TOOLTIP_NEXT_SKILL_LEVEL_1	Volgende Level: %d (Max. %d)	
TOOLTIP_NEXT_SKILL_LEVEL_2	Volgende Level: %d (Max. %d-%d)	
TOOLTIP_NORMAL_DAMAGE_GUARD	%d%% kans om aanvalsschade te blokkeren	SA
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Gemiddelde Schade %d%%	SA
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS_BOSS_OR_MORE	+%d%% aanvalsschade tegen bazen	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Gemiddelde Schade Weerstand %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS_BOSS_OR_MORE	-%d%% aanvalsschade van bazen	SA
TOOLTIP_PARTY_INFO_GRADE_UP1	Meer dan %d Groeps leden.	
TOOLTIP_PARTY_INFO_GRADE_UP2	Aanvals Level +%d	
TOOLTIP_PARTY_INFO_GRADE_UP3	Verdedigings Level +%d	
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	Herstelet LP/TP voor alle Groepsleden voor 60 minuten.	
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	Herstelt LP/TP voor alle Groepsleden voor 30 minuten	
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Je moet 3 minuten wachten na de dood van een groepslid.	
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Je kunt Groepsleden die op dezelfde server zitten altijd roepen.	
TOOLTIP_PARTY_INFO_SET_ATTACKER	Aanvals Level +(Getal Groepsleden./2) Aanvaller %d kan gekozen worden.	
TOOLTIP_PARTY_INFO_SET_TANKER	Verdedigings Level +( Getal Groepsleden) Mesvechters 1 kan gekozen worden.	
TOOLTIP_PARTY_SKILL_LEVEL	Huidige Level: %d	
TOOLTIP_PARTY_TITLE_GRADE_UP	[Aanval/Verdediging geüpgrade]
TOOLTIP_PARTY_TITLE_HEAL	[herstel]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Wanneer je meer dan %d Groepsleden hebt krijg je %d%% Bonus ERV.	
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Bonus ERV]
TOOLTIP_PARTY_TITLE_RECALL	[Roep]	
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Benoem Aanvaller]	
TOOLTIP_PARTY_TITLE_SET_TANKER	[Benoem Mes Vechter]
TOOLTIP_PEPSI_EVENT	5% ERV-bonus en 5% hogere kans op buitmaken van items.	SNA
TOOLTIP_PICK_EXP	Punten: %d / %d	
TOOLTIP_PICK_LEVEL	Level: %d	
TOOLTIP_PICK_UPGRADE1	Geef het aan de Houthakker
TOOLTIP_PICK_UPGRADE2	om een
TOOLTIP_PICK_UPGRADE3	Pikhouweel.
TOOLTIP_POTION_CURE	Heel negative effecten.	
TOOLTIP_POTION_MIN	Min.	
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Aanvals snelheid +%d
TOOLTIP_POTION_PLUS_ATTBONUS_MONSTER	ANV BONUS MONSTER: +%d%%
TOOLTIP_POTION_PLUS_ATT_POINT	ANV: +%d
TOOLTIP_POTION_PLUS_ATT_POINT_PER	ANV: +%d%%
TOOLTIP_POTION_PLUS_DEF_POINT	VER: +%d
TOOLTIP_POTION_PLUS_DEX_POINT	BEH: +%d
TOOLTIP_POTION_PLUS_EXP_BONUS	ERV: +%d%%
TOOLTIP_POTION_PLUS_HIT_DEFEND_POINT	SCHADE WEERSTAND: +%d%%
TOOLTIP_POTION_PLUS_HP_PERCENT	LP +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	LP +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Beweeg snelheid +%d
TOOLTIP_POTION_PLUS_RESIST_DARK	DUISTERNIS WEERSTAND: +%d%%
TOOLTIP_POTION_PLUS_RESIST_EARTH	AARDE WEERSTAND: +%d%%
TOOLTIP_POTION_PLUS_RESIST_ICE	IJS WEERSTAND: +%d%%
TOOLTIP_POTION_PLUS_RESIST_MAGIC	MAGIE WEERSTAND: +%d%%
TOOLTIP_POTION_PLUS_SP_PERCENT	TP +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	TP +%d
TOOLTIP_POTION_PLUS_STR_POINT	KRA: +%d
TOOLTIP_POTION_SEC	Sec.	
TOOLTIP_POTION_TIME	Duratie:	
TOOLTIP_PVP_TOURNAMENT_ENTER	Deelnemen aan PvP Toernooi
TOOLTIP_PVP_TOURNAMENT_EXPBONUS	PvP Toernooi ERV +%d%%	SA
TOOLTIP_REQUIREMENT_21_LEVEL	Je moet Level 21 bereikt hebben.	
TOOLTIP_REQUIREMENT_41_LEVEL	Je moet Level 41 bereikt hebben.	
TOOLTIP_REQUIREMENT_LEVEL	Je moet Level %d bereikt hebben.	
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s Level %d nodig.	
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d nodig	
TOOLTIP_RESIST_BOW	Pijlverdediging %d%%	SA
TOOLTIP_RESIST_DARK	Weerstand tegen duisternis +%d%%	SA
TOOLTIP_RESIST_EARTH	Aarde weerstand +%d%%	SA
TOOLTIP_RESIST_ELEC	Bliksem Weerstand %d%%	SA
TOOLTIP_RESIST_FIRE	Vuur Weerstand %d%%	SA
TOOLTIP_RESIST_ICE	IJsweerstand +%d%%	SA
TOOLTIP_RESIST_MAGIC	Magie Weerstand %d%%	SA
TOOLTIP_RESIST_MAGIC_REDUCTION	Magiepenetratie van %d%%	SA
TOOLTIP_REST_USABLE_COUNT	Over: %d	
TOOLTIP_SEALED	Zielsgebonden
TOOLTIP_SEASON_PVE_BUFF	Verhoogt PvE-schade met 80% gedurende 10 min.	SNA
TOOLTIP_SEASON_RANKING_BUFF	Verhoogt rangpunten met 20% gedurende 10 min.	SNA
TOOLTIP_SECOND_ATTRIBUTE_BONUS	2de bonus +%d%%	SA
TOOLTIP_SELLPRICE	Prijs: %s	
TOOLTIP_SET_ITEM	Set Bonus	SNA
TOOLTIP_SHAMAN	Sjamaan	
TOOLTIP_SHIELD	Schild	
TOOLTIP_SHOES	Shoenen	
TOOLTIP_SKILL	Vaardigheden	SNA
TOOLTIP_SKILLBOOK_NAME	Vaardigheden Boek	
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Aanvals Waarde: +	
TOOLTIP_SKILL_AFFECT_ATT_POWER	Aanvals Waarde:	
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Aanvals Snelheid: +	
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Verdediging:	
TOOLTIP_SKILL_AFFECT_DODGE	Opponent Aanvals Waarde: -	
TOOLTIP_SKILL_AFFECT_HEAL	Herstel LP:	
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Beweeg Snelheid: +	
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Kans om fysieke aanvallen te weerkaatsen:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Weertand tegen Lichaam Schade:	
TOOLTIP_SKILL_COOL_TIME	Laadtijd: 
TOOLTIP_SKILL_DAMAGE_AMSEOP	Overval Schade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_BIPABU	Vliegende Talisman Schade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_BONUS	Vaardigheid Schade %d%%	SA
TOOLTIP_SKILL_DAMAGE_BONUS_BOSS_OR_MORE	+%d%% vaardighedenschade tegen bazen	SA
TOOLTIP_SKILL_DAMAGE_BYEURAK	Ontbied Bliksem Schade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_CHAIN	Bliksem Klauw Schade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_CHARYUN	Rollend Mes Schade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_CHAYEOL	Verscheur Schade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_GEOMPUNG	Zwaard Dreun Schade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_GIGONGCHAM	Geest Slag (Z) Schade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_GIGUNG	Gif Pijl Schade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_GONGDAB	Wolf Stoot Schade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_GUNGSIN	Snelle Aanval Schade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_GYOKSAN	Duw Schade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_HWAJO	Vuur Pijl Schade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_HWAYEOMPOK	Vlam Slag Schade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_KWANKYEOK	Pijlen Regen Schade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_MAHWAN	Donkere Orb Schade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_MARYUNG	Donker Slag Schade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_NOEJEON	Gooi Bliksem Schade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_PABEOB	Opheffing Schade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_PAERYONG	Draken Brul Schade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_PALBANG	Zwaard Wervel +%d%%	SA
TOOLTIP_SKILL_DAMAGE_PASWAE	Wolvenklauw Schade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_SALPOONG	Wolvenadem Schade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_SAMYEON	Drieweg Snede Schade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_SANGONG	Gif Wolk Schade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_SWAERYUNG	Vinger Slag Schade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_TANHWAN	Stoten Schade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_YEONSA	Herhalend Schot Schade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_YONGBI	Schietende Draak Schade +%d%%	SA
TOOLTIP_SKILL_DAMAGE_YONGKWON	Draken Wervel Schade +%d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Weerstand tegen Vaardigheden Schade %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS_BOSS_OR_MORE	-%d%% vaardighedenschade van bazen	SA
TOOLTIP_SKILL_DURATION	Duur: %d sec.
TOOLTIP_SKILL_DURATION_INCREASE_EUNHYUNG	Verborgenheid Duur +%d sec.	SA
TOOLTIP_SKILL_DURATION_INCREASE_GEOMKYUNG	Aura van het Zwaard Duur +%d sec.	SA
TOOLTIP_SKILL_DURATION_INCREASE_GYEONGGONG	Vederlicht Lopen Duur +%d sec.	SA
TOOLTIP_SKILL_DURATION_INCREASE_JEOKRANG	Bloedrode Wolf Ziel Duur +%d sec.	SA
TOOLTIP_SKILL_FORGET_BOOK_NAME	Boek der Vergetelheid	
TOOLTIP_SKILL_LEVEL	Huidige Level: %d	
TOOLTIP_SKILL_LEVEL_MASTER	Huidige Level: %d (Meester)	
TOOLTIP_SKILL_LEVEL_WITH_MAX	Huidige Level: %d (Max. %d)	
TOOLTIP_SOCKET_EMPTY	Leeg	
TOOLTIP_SOCKET_REFINABLE_ITEM	[Voorwerp met een fitting]
TOOLTIP_SP_REGEN	TP Regeneratie +%d%%	SA
TOOLTIP_STR	Kracht +%d	SA
TOOLTIP_SURA	Sura	
TOOLTIP_THIRD_ATTRIBUTE_BONUS	3de bonus +%d%%	SA
TOOLTIP_TIME_CHARGER_FIX	Tijdopladen %d sec.	SA
TOOLTIP_TIME_CHARGER_PER	Tijd opladen %d%%	SA
TOOLTIP_UNIQUE	Uniek	
TOOLTIP_UNSEAL_LEFT_TIME	Verwijdering van zielsgebonden over: %du %dm
TOOLTIP_USE_SKILL_AMSEOP_HP_ABSORB	Absorbeert %d%% LP met Hinderlaag	SA
TOOLTIP_USE_SKILL_BIPABU_NEXT_COOLTIME_DECREASE_10PER	Vliegende Talisman Afkoelperiode: -%d sec. met 10%% kans	SA
TOOLTIP_USE_SKILL_BIPABU_NEXT_COOLTIME_DECREASE_20PER	Vliegende Talisman Afkoelperiode: -%d sec. met 20%% kans	SA
TOOLTIP_USE_SKILL_BYEURAK_HP_ABSORB	Absorbeert tot %d%% LP met Ontbied Bliksem	SA
TOOLTIP_USE_SKILL_CHAIN_HP_ABSORB	Absorbeert %d%% LP met Bliksem Klauw	SA
TOOLTIP_USE_SKILL_CHARYUN_STUN	%d%% overdonderkans met Draaiend Mes	SA
TOOLTIP_USE_SKILL_CHAYEOL_CRITICAL_PCT	Verhoogde kans op kritieke aanvallen gedurende %d sec. met Verscheur	SA
TOOLTIP_USE_SKILL_CHAYEOL_HP_ABSORB	Absorbeert %d%% LP met Verscheur	SA
TOOLTIP_USE_SKILL_CHEONGRANG_CASTING_SPEED	Verhoogde spreuksnelheid gedurende %d sec. met Indigo Wolf Ziel	SA
TOOLTIP_USE_SKILL_CHEONGRANG_MOV_SPEED	Verhoogde bewegingssnelheid gedurende %d sec. met Indigo Wolf Ziel	SA
TOOLTIP_USE_SKILL_CHUNKEON_CASTING_SPEED	Verhoogde spreuksnelheid gedurende %d sec. met Sterk Lichaam	SA
TOOLTIP_USE_SKILL_GEOMPUNG_NEXT_COOLTIME_DECREASE_10PER	Zwaard Dreun Afkoelperiode: -%d sec. met 10%% kans	SA
TOOLTIP_USE_SKILL_GEOMPUNG_NEXT_COOLTIME_DECREASE_20PER	Zwaard Dreun Afkoelperiode: -%d sec. met 20%% kans	SA
TOOLTIP_USE_SKILL_GICHEON_ATT_GRADE_BONUS	Aanvalsbonus gedurende %d sec. met Draken Hulp	SA
TOOLTIP_USE_SKILL_GIGONGCHAM_STUN	%d%% overdonderkans met Geest Slag (Z)	SA
TOOLTIP_USE_SKILL_GIGUNG_ATT_GRADE_BONUS	Aanvalsbonus gedurende %d sec. met Gif Pijl	SA
TOOLTIP_USE_SKILL_GIHYEOL_ATT_GRADE_BONUS	Aanvalsbonus gedurende %d sec. met Levenskracht	SA
TOOLTIP_USE_SKILL_GONGDAB_KNOCKBACK	%d%% terugslagkans met Wolf Stoot	SA
TOOLTIP_USE_SKILL_GONGDAB_STUN	%d%% overdonderkans met Wolf Stoot	SA
TOOLTIP_USE_SKILL_GUNGSIN_NEXT_COOLTIME_DECREASE_10PER	Snelle Aanval Afkoelperiode: -%d sec. met 10%% kans	SA
