ACCE_ABSORB_COST	Стоимость поглощения: %d
TOOLTIP_ITEM_LIMIT_DEX	Предел подвижности: %d
TOOLTIP_ITEM_LIMIT_INT	Предел интеллекта: %d
TOOLTIP_ITEM_LIMIT_LEVEL	с уровня: %d
TOOLTIP_ITEM_LIMIT_STR	Предел силы: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Показатель магической атаки %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Показатель магической атаки %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Магическая защита %d
TOOLTIP_ITEM_NORMAL	нормально
TOOLTIP_ITEM_SLOW	медленно
TOOLTIP_ITEM_VERY_FAST	очень быстро
TOOLTIP_ITEM_VERY_SLOW	очень медленно
TOOLTIP_ITEM_WEARABLE_JOB	[можно снаряжать]
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Счастливое число: %d
TOOLTIP_MAGIC_ATTBONUS_PER	Магическая атака +%d%%	SA
TOOLTIP_MAGIC_ATT_GRADE	Показатель магической атаки +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Магическая защита +%d	SA
TOOLTIP_MALL_ATTBONUS	Показатель атаки +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Показатель атаки	SNA
TOOLTIP_MALL_AUTOLOOT	Янг принимается автом.	SNA
TOOLTIP_MALL_DEFBONUS	Защита +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Защита 	SNA
TOOLTIP_MALL_EXPBONUS	Опыт +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	иКафе бонус к опыту +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	на 50% больше опыта	SNA
TOOLTIP_MALL_FISH_MIND	Повышенный шанс поймать рыбу.	SNA
TOOLTIP_MALL_GOLDBONUS	Шансы на выпадение янг увеличены на %d%%	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Удвоенные шансы на выпадение янг	SNA
TOOLTIP_MALL_ITEMBONUS	Шансы на выпадение предметов увеличены на %d%%	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	иКафе-шанс на получение предметов плюс %.1f%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Шанс на выпадение предметов увеличен на 200%.	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Очки любви возрастают быстрее.	SNA
TOOLTIP_MALL_SAFEBOX	В вашем распоряжении больше складских помещений.	SNA
TOOLTIP_MAX_HP	Максим. ХП +%d	SA
TOOLTIP_MAX_HP_PCT	Максим. ХП +%d%%	SA
TOOLTIP_MAX_SP	Максим. МП +%d	SA
TOOLTIP_MAX_SP_PCT	Максим. МП +%d%%	SA
TOOLTIP_MAX_STAMINA	Максим. выносливость +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Магическая, ближняя атака +%d%%	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS-ошибка(%d, %d)
TOOLTIP_MORE_THEN_HP90_DAMAGE_REDUCE	Если у вас больше 90%% ХП, получаемый урон снижается на %d%%.	SA
TOOLTIP_MOV_SPEED	Скорость движения %d%%	SA
TOOLTIP_NECK	Ожерелье
TOOLTIP_NEED_ALL_SP	Необходимые МП: Максим.
TOOLTIP_NEED_GSP	Необходимо Дух Дракона: %d
TOOLTIP_NEED_HP	Необходимые ХП: %d
TOOLTIP_NEED_HP_PER_SEC	ХП: %d / Сек.
TOOLTIP_NEED_SKILL_POINT	Необходимые очки навыков:
TOOLTIP_NEED_SP	Необходимые МП: %d
TOOLTIP_NEED_SP_PER_SEC	МП / Сек.: %d
TOOLTIP_NEXT_SKILL_LEVEL_1	Следующий уровень:%d (Максим. %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	Следующий уровень: %d (Максим. %d-%d)
TOOLTIP_NORMAL_DAMAGE_GUARD	Урон от атаки блокируется с вероятностью в %d%%	SA
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Средний урон %d%%	SA
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS_BOSS_OR_MORE	Урон от атаки против боссов +%d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Средн.устойчивость урону %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS_BOSS_OR_MORE	Урон от атаки против боссов -%d%%	SA
TOOLTIP_PARTY_INFO_GRADE_UP1	Больше чем %d участников группы
TOOLTIP_PARTY_INFO_GRADE_UP2	Ступень атаки +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	Ступень защиты +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	Восстановить ХП/МП всех участников группы через 60 Минут.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	Восстановить ХП/МП всех участников группы через 30 Минут.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Время ожидания после смерти участника группы составляет 3 минуты.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Созвать участников группы на одном и том же сервере можно в любое время.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Ступень атаки +(кол.участников группы/ 2) Бойцы атаки %d могут быть выбранны.
TOOLTIP_PARTY_INFO_SET_TANKER	Ступень защиты+(кол.участников группы). Бойцы ближнего боя 1 могут быть выбраны.
TOOLTIP_PARTY_SKILL_LEVEL	Актуальный уровень: %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[Атака/Защита улучшены]
TOOLTIP_PARTY_TITLE_HEAL	[Восстановить]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Больше %d  участников группы дают бонус к опыту %d%%.
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Бонус к опыту]
TOOLTIP_PARTY_TITLE_RECALL	[Созвать]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Определить бойцов атаки]
TOOLTIP_PARTY_TITLE_SET_TANKER	[Определить Бойцом ближнего боя]
TOOLTIP_PEPSI_EVENT	+5% к опыту и +5% к шансу получить предметы.	SNA
TOOLTIP_PICK_EXP	Очки:  %d / %d
TOOLTIP_PICK_LEVEL	Уровень: %d
TOOLTIP_PICK_UPGRADE1	Отдать лесорубу
TOOLTIP_PICK_UPGRADE2	чтобы к лучшей
TOOLTIP_PICK_UPGRADE3	Улучшить Кирку
TOOLTIP_POTION_CURE	Убрать негативные эффекты.
TOOLTIP_POTION_MIN	Мин.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Скорость атаки: +%d
TOOLTIP_POTION_PLUS_ATTBONUS_MONSTER	АТК-БОНУС МОНСТРАМ: +%d%%
TOOLTIP_POTION_PLUS_ATT_POINT	АТК: +%d
TOOLTIP_POTION_PLUS_ATT_POINT_PER	АТК: +%d%%
TOOLTIP_POTION_PLUS_DEF_POINT	ЗАЩ: +%d
TOOLTIP_POTION_PLUS_DEX_POINT	ПОДВ: +%d
TOOLTIP_POTION_PLUS_EXP_BONUS	ОПЫТ: +%d%%
TOOLTIP_POTION_PLUS_HIT_DEFEND_POINT	СОПРОТИВЛЕНИЕ УРОНУ: +%d%%
TOOLTIP_POTION_PLUS_HP_PERCENT	ХП: +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	ХП: +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Скорость движения +%d
TOOLTIP_POTION_PLUS_RESIST_DARK	СОПР. ТЬМЕ: +%d%%
TOOLTIP_POTION_PLUS_RESIST_EARTH	СОПР. ЗЕМЛЕ: +%d%%
TOOLTIP_POTION_PLUS_RESIST_ICE	СОПР. ЛЬДУ: +%d%%
TOOLTIP_POTION_PLUS_RESIST_MAGIC	СОПР. МАГИИ: +%d%%
TOOLTIP_POTION_PLUS_SP_PERCENT	МП +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	МП +%d
TOOLTIP_POTION_PLUS_STR_POINT	СИЛА: +%d
TOOLTIP_POTION_SEC	Сек.
TOOLTIP_POTION_TIME	Длительность:
TOOLTIP_PVP_TOURNAMENT_ENTER	Участие в PvP-турнире
TOOLTIP_PVP_TOURNAMENT_EXPBONUS	Опыт за PvP-турнир +%d%%	SA
TOOLTIP_REQUIREMENT_21_LEVEL	Необходимо достигнуть хотя бы 21 уровень.
TOOLTIP_REQUIREMENT_41_LEVEL	Необходимо достигнуть хотя бы 41 уровень.
TOOLTIP_REQUIREMENT_LEVEL	Необходимо достигнуть хотя бы уровень %d
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s уровень %d обязателен.
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d обязателен
TOOLTIP_RESIST_BOW	Защита от стрел %d%%	SA
TOOLTIP_RESIST_DARK	Сопротивление темноте +%d%%	SA
TOOLTIP_RESIST_EARTH	Сопротивление земле +%d%%	SA
TOOLTIP_RESIST_ELEC	Сопротивляемость молниям %d%%	SA
TOOLTIP_RESIST_FIRE	Сопротивляемость огню %d%%	SA
TOOLTIP_RESIST_ICE	Сопротивление льду +%d%%	SA
TOOLTIP_RESIST_MAGIC	Сопротивляемость Магии %d%%	SA
TOOLTIP_RESIST_MAGIC_REDUCTION	Рассеивание магии %d%%	SA
TOOLTIP_REST_USABLE_COUNT	Осталось: %d
TOOLTIP_SEALED	Предмет зачарован оковами души
TOOLTIP_SEASON_PVE_BUFF	На 80% выше PvE-урон (10 минут).	SNA
TOOLTIP_SEASON_RANKING_BUFF	На 20% больше очков ранга (10 минут).	SNA
TOOLTIP_SECOND_ATTRIBUTE_BONUS	2-й добавленный бонус +%d%%	SA
TOOLTIP_SELLPRICE	Цена: %s
TOOLTIP_SET_ITEM	Бонус за набор	SNA
TOOLTIP_SHAMAN	Шаман
TOOLTIP_SHIELD	Щит
TOOLTIP_SHOES	Туфли
TOOLTIP_SKILL	Навык	SNA
TOOLTIP_SKILLBOOK_NAME	Книга навыков
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Показатель атаки: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Показатель атаки:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Скорость атаки: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Защита:
TOOLTIP_SKILL_AFFECT_DODGE	Показатель атаки противника: -
TOOLTIP_SKILL_AFFECT_HEAL	Восстановить ХП:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Скорость движения: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Шанс отразить физическую атаку:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Сопротивляемость физическому урону:
TOOLTIP_SKILL_COOL_TIME	Время загрузки: 
TOOLTIP_SKILL_DAMAGE_AMSEOP	Урон от Засады +%d%%	SA
TOOLTIP_SKILL_DAMAGE_BIPABU	Урон от Летающего талисмана +%d%%	SA
TOOLTIP_SKILL_DAMAGE_BONUS	Урон навыков %d%%	SA
TOOLTIP_SKILL_DAMAGE_BONUS_BOSS_OR_MORE	Урон от навыков против боссов +%d%%	SA
TOOLTIP_SKILL_DAMAGE_BYEURAK	Урон от Вызова молнии +%d%%	SA
TOOLTIP_SKILL_DAMAGE_CHAIN	Урон от Когтей молнии +%d%%	SA
TOOLTIP_SKILL_DAMAGE_CHARYUN	Урон от Крутящегося кинжала +%d%%	SA
TOOLTIP_SKILL_DAMAGE_CHAYEOL	Урон от Безумия зверя +%d%%	SA
TOOLTIP_SKILL_DAMAGE_GEOMPUNG	Урон от Взмаха мечом +%d%%	SA
TOOLTIP_SKILL_DAMAGE_GIGONGCHAM	Урон от Призрачного удара +%d%%	SA
TOOLTIP_SKILL_DAMAGE_GIGUNG	Урон от Ядовитой стрелы +%d%%	SA
TOOLTIP_SKILL_DAMAGE_GONGDAB	Урон от Рывка зверя +%d%%	SA
TOOLTIP_SKILL_DAMAGE_GUNGSIN	Урон от Молниеносной атаки +%d%%	SA
TOOLTIP_SKILL_DAMAGE_GYOKSAN	Урон от Сильного удара +%d%%	SA
TOOLTIP_SKILL_DAMAGE_HWAJO	Урон от Горящей стрелы +%d%%	SA
TOOLTIP_SKILL_DAMAGE_HWAYEOMPOK	Урон от Огненного удара +%d%%	SA
TOOLTIP_SKILL_DAMAGE_KWANKYEOK	Урон от Потока стрел +%d%%	SA
TOOLTIP_SKILL_DAMAGE_MAHWAN	Урон от Темного орба +%d%%	SA
TOOLTIP_SKILL_DAMAGE_MARYUNG	Урон от Темной атаки +%d%%	SA
TOOLTIP_SKILL_DAMAGE_NOEJEON	Урон от Броска молнии +%d%%	SA
TOOLTIP_SKILL_DAMAGE_PABEOB	Урон от Рассеивания +%d%%	SA
TOOLTIP_SKILL_DAMAGE_PAERYONG	Урон от Рева дракона +%d%%	SA
TOOLTIP_SKILL_DAMAGE_PALBANG	Урон от Вращающегося меча +%d%%	SA
TOOLTIP_SKILL_DAMAGE_PASWAE	Урон от Волчьих когтей +%d%%	SA
TOOLTIP_SKILL_DAMAGE_SALPOONG	Урон от Дыхания зверя +%d%%	SA
TOOLTIP_SKILL_DAMAGE_SAMYEON	Урон от Трехкратного удара +%d%%	SA
TOOLTIP_SKILL_DAMAGE_SANGONG	Урон от Ядовитого облака +%d%%	SA
TOOLTIP_SKILL_DAMAGE_SWAERYUNG	Урон от Атаки рукой +%d%%	SA
TOOLTIP_SKILL_DAMAGE_TANHWAN	Урон от Натиска +%d%%	SA
TOOLTIP_SKILL_DAMAGE_YEONSA	Урон от Повторного выстрела +%d%%	SA
TOOLTIP_SKILL_DAMAGE_YONGBI	Урон от Стреляющего дракона +%d%%	SA
TOOLTIP_SKILL_DAMAGE_YONGKWON	Урон от Драконьего вихря +%d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Сопротивляемость урону навыков %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS_BOSS_OR_MORE	Урон от навыков боссов -%d%%	SA
TOOLTIP_SKILL_DURATION	Длительность: %d сек.
TOOLTIP_SKILL_DURATION_INCREASE_EUNHYUNG	Урон от Невидимости +%d сек.	SA
TOOLTIP_SKILL_DURATION_INCREASE_GEOMKYUNG	Урон от Ауры меча +%d сек.	SA
TOOLTIP_SKILL_DURATION_INCREASE_GYEONGGONG	Урон от Легкой походки +%d сек.	SA
TOOLTIP_SKILL_DURATION_INCREASE_JEOKRANG	Урон от Огненной души волка +%d сек.	SA
TOOLTIP_SKILL_FORGET_BOOK_NAME	Лента забвения
TOOLTIP_SKILL_LEVEL	Актуальный уровень: %d
TOOLTIP_SKILL_LEVEL_MASTER	Актуальный уровень: %d (Мастер)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Актуальный уровень: %d ( Макс. %d)
TOOLTIP_SOCKET_EMPTY	Пусто
TOOLTIP_SOCKET_REFINABLE_ITEM	[Предмет с ячейкой]
TOOLTIP_SP_REGEN	МП-регенерация +%d%%	SA
TOOLTIP_STR	Сила +%d	SA
TOOLTIP_SURA	Сура
TOOLTIP_THIRD_ATTRIBUTE_BONUS	3-й добавленный бонус +%d%%	SA
TOOLTIP_TIME_CHARGER_FIX	Время восстановления %d сек.	SA
TOOLTIP_TIME_CHARGER_PER	Время восстановления %d%%	SA
TOOLTIP_UNIQUE	Уникальный
TOOLTIP_UNSEAL_LEFT_TIME	Разрушение оков души через: %dH %dM
TOOLTIP_USE_SKILL_AMSEOP_HP_ABSORB	Поглощает %d%% ХП при использовании Засады	SA
TOOLTIP_USE_SKILL_BIPABU_NEXT_COOLTIME_DECREASE_10PER	Время перезарядки Летающего талисмана: -%d сек. с вероятностью в 10%%	SA
TOOLTIP_USE_SKILL_BIPABU_NEXT_COOLTIME_DECREASE_20PER	Время перезарядки Летающего талисмана: -%d сек. с вероятностью в 20%%	SA
TOOLTIP_USE_SKILL_BYEURAK_HP_ABSORB	Вы поглощаете до %d%% ХП при использовании Вызова молнии.	SA
TOOLTIP_USE_SKILL_CHAIN_HP_ABSORB	Поглощает %d%% ХП при использовании Когтя молнии	SA
TOOLTIP_USE_SKILL_CHARYUN_STUN	Крутящийся кинжал оглушает врагов с вероятностью %d%%	SA
TOOLTIP_USE_SKILL_CHAYEOL_CRITICAL_PCT	Повышенный шанс на критический удар на %d сек. при использовании Безумия зверя	SA
TOOLTIP_USE_SKILL_CHAYEOL_HP_ABSORB	Поглощает %d%% ХП при использовании Безумия зверя	SA
TOOLTIP_USE_SKILL_CHEONGRANG_CASTING_SPEED	Повышенная скорость заклинания на %d сек. при использовании Небесной души волка	SA
TOOLTIP_USE_SKILL_CHEONGRANG_MOV_SPEED	Повышенная скорость передвижения на %d сек. при использовании Небесной души волка	SA
TOOLTIP_USE_SKILL_CHUNKEON_CASTING_SPEED	Повышенная скорость заклинания на %d сек. при использовании Сильного тела	SA
TOOLTIP_USE_SKILL_GEOMPUNG_NEXT_COOLTIME_DECREASE_10PER	Время перезарядки Взмаха мечом: -%d сек. с вероятностью в 10%%	SA
TOOLTIP_USE_SKILL_GEOMPUNG_NEXT_COOLTIME_DECREASE_20PER	Время перезарядки Взмаха мечом: -%d сек. с вероятностью в 20%%	SA
TOOLTIP_USE_SKILL_GICHEON_ATT_GRADE_BONUS	Бонус к атаке на %d сек. при использовании Помощи дракона	SA
TOOLTIP_USE_SKILL_GIGONGCHAM_STUN	Призрачный удар оглушает врагов с вероятностью %d%%	SA
TOOLTIP_USE_SKILL_GIGUNG_ATT_GRADE_BONUS	Бонус к атаке на %d сек. при использовании Ядовитой стрелы	SA
TOOLTIP_USE_SKILL_GIHYEOL_ATT_GRADE_BONUS	Бонус к атаке на %d сек. при использовании Силы жизни	SA
TOOLTIP_USE_SKILL_GONGDAB_KNOCKBACK	Рывок зверя с вероятностью в %d%% отбрасывает врага	SA
TOOLTIP_USE_SKILL_GONGDAB_STUN	Рывок зверя оглушает врагов с вероятностью %d%%	SA
TOOLTIP_USE_SKILL_GUNGSIN_NEXT_COOLTIME_DECREASE_10PER	Время перезарядки Быстрой атаки: -%d сек. с вероятностью в 10%%	SA
TOOLTIP_USE_SKILL_GUNGSIN_NEXT_COOLTIME_DECREASE_20PER	Время перезарядки Быстрой атаки: -%d сек. с вероятностью в 20%%	SA
TOOLTIP_USE_SKILL_GWIGEOM_DEF_BONUS	Бонус к защите на %d сек. при использовании Волшебного клинка	SA
TOOLTIP_USE_SKILL_GYOKSAN_KNOCKBACK	Сильный удар с вероятностью в %d%% отбрасывает врага	SA
TOOLTIP_USE_SKILL_HOSIN_DEF_BONUS	Бонус к защите на %d сек. при использовании Благословения	SA
TOOLTIP_USE_SKILL_HWAYEOMPOK_KNOCKBACK	Огненный удар с вероятностью в %d%% отбрасывает врага	SA
TOOLTIP_USE_SKILL_JEOKRANG_DEF_BONUS	Бонус к защите на %d сек. при использовании Огненной души волка	SA
TOOLTIP_USE_SKILL_JEONGEOP_ATT_GRADE_BONUS	Бонус к атаке на %d сек. при использовании Исцеления	SA
TOOLTIP_USE_SKILL_JEUNGRYEOK_DEF_BONUS	Бонус к защите на %d сек. при использовании Атаки+	SA
TOOLTIP_USE_SKILL_KWANKYEOK_KNOCKBACK	Поток стрел с вероятностью в %d%% отбрасывает врага	SA
TOOLTIP_USE_SKILL_KWANKYEOK_NEXT_COOLTIME_DECREASE_10PER	Время перезарядки Потока стрел: -%d сек. с вероятностью в 10%%	SA
TOOLTIP_USE_SKILL_KWANKYEOK_NEXT_COOLTIME_DECREASE_20PER	Время перезарядки Потока стрел: -%d сек. с вероятностью в 20%%	SA
TOOLTIP_USE_SKILL_MAHWAN_STUN	Темный орб оглушает врагов с вероятностью %d%%	SA
TOOLTIP_USE_SKILL_MANASHILED_CASTING_SPEED	Повышенная скорость заклинания на %d сек. при использовании Защиты тьмы	SA
TOOLTIP_USE_SKILL_MARYUNG_NEXT_COOLTIME_DECREASE_10PER	Время перезарядки Темной атаки: -%d сек. с вероятностью в 10%%	SA
TOOLTIP_USE_SKILL_MARYUNG_NEXT_COOLTIME_DECREASE_20PER	Время перезарядки Темной атаки: -%d сек. с вероятностью в 20%%	SA
TOOLTIP_USE_SKILL_MUYEONG_ATT_GRADE_BONUS	Бонус к атаке на %d сек. при использовании Духа огня	SA
TOOLTIP_USE_SKILL_NOEGEOM_ATT_GRADE_BONUS	Бонус к атаке на %d сек. при использовании Сферы клинка	SA
TOOLTIP_USE_SKILL_NOEJEON_NEXT_COOLTIME_DECREASE_10PER	Время перезарядки Броска молнии: -%d сек. с вероятностью в 10%%	SA
TOOLTIP_USE_SKILL_NOEJEON_NEXT_COOLTIME_DECREASE_20PER	Время перезарядки Броска молнии: -%d сек. с вероятностью в 20%%	SA
TOOLTIP_USE_SKILL_PABEOB_STUN	Рассеивание оглушает врагов с вероятностью %d%%	SA
TOOLTIP_USE_SKILL_PAERYONG_HP_ABSORB	Поглощает %d%% ХП при использовании Рева дракона	SA
TOOLTIP_USE_SKILL_PALBANG_HP_ABSORB	Поглощает %d%% ХП при использовании Вращающегося меча	SA
TOOLTIP_USE_SKILL_PASWAE_NEXT_COOLTIME_DECREASE_10PER	Время перезарядки Волчьего когтя: -%d сек. с вероятностью в 10%%	SA
TOOLTIP_USE_SKILL_PASWAE_NEXT_COOLTIME_DECREASE_20PER	Время перезарядки Волчьего когтя: -%d сек. с вероятностью в 20%%	SA
TOOLTIP_USE_SKILL_PASWAE_SP_ABSORB	Поглощает %d%% МП при использовании Волчьего когтя	SA
TOOLTIP_USE_SKILL_SALPOONG_NEXT_COOLTIME_DECREASE_10PER	Время перезарядки Дыхания зверя: -%d сек. с вероятностью в 10%%	SA
TOOLTIP_USE_SKILL_SALPOONG_NEXT_COOLTIME_DECREASE_20PER	Время перезарядки Дыхания зверя: -%d сек. с вероятностью в 20%%	SA
TOOLTIP_USE_SKILL_SAMYEON_NEXT_COOLTIME_DECREASE_10PER	Время перезарядки Трехкратного удара: -%d сек. с вероятностью в 10%%	SA
TOOLTIP_USE_SKILL_SAMYEON_NEXT_COOLTIME_DECREASE_20PER	Время перезарядки Трехкратного удара: -%d сек. с вероятностью в 20%%	SA
TOOLTIP_USE_SKILL_SAMYEON_STUN	Трехкратный удар оглушает врагов с вероятностью %d%%	SA
TOOLTIP_USE_SKILL_SANGONG_ATT_GRADE_BONUS	Бонус к атаке на %d сек. при использовании Ядовитого облака	SA
TOOLTIP_USE_SKILL_SEOMJEON_KNOCKBACK	Поражение ядом с вероятностью в %d%% отбрасывает врага	SA
TOOLTIP_USE_SKILL_SWAERYUNG_KNOCKBACK	Атака рукой с вероятностью в %d%% отбрасывает врага	SA
TOOLTIP_USE_SKILL_TERROR_ATT_GRADE_BONUS	Бонус к атаке на %d сек. при использовании Страха	SA
TOOLTIP_USE_SKILL_TUSOK_HP_ABSORB	Поглощает %d%% ХП при использовании Духовного удара	SA
TOOLTIP_USE_SKILL_YEONSA_HP_ABSORB	Поглощает %d%% ХП при использовании Повторного выстрела	SA
TOOLTIP_USE_SKILL_YONGBI_HP_ABSORB	Поглощает %d%% ХП при использовании Стреляющего дракона	SA
TOOLTIP_USE_SKILL_YONGKWON_NEXT_COOLTIME_DECREASE_10PER	Время перезарядки Драконьего вихря: -%d сек. с вероятностью в 10%%	SA
TOOLTIP_USE_SKILL_YONGKWON_NEXT_COOLTIME_DECREASE_20PER	Время перезарядки Драконьего вихря: -%d сек. с вероятностью в 20%%	SA
TOOLTIP_WARRIOR	Воин
TOOLTIP_WEAPON	Оружие
TOOLTIP_WOLFMAN	Ликан
TOOLTIP_WRISTLET	Браслет
UI_ACCEPT	Принять
UI_BOLD_FONT	Tahoma:12b
UI_CANCEL	Отмена
UI_CLOSE	Закрыть
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	Отказать
UI_ITEM	Предмет
UI_LEFT_TIME	Оставш.время: %d Сек.
UI_NEXT	Дальше
UI_NEXTPAGE	Далее
UI_NOCONTENTS	Содержание отсутствует
UI_NONAME	Имя отсутсвует
UI_OK	ОК
UI_POS_UNKNOWN	Неизвестное место
UI_PREVPAGE	Назад
UI_UNKNOWN	Неизвестно
UNLIMIT_ENTER_CZ_QUESTION	Вы можете зайти в Храм Зодиака на %d мин. Хотите применить?
UPDATE_TIME	Дата
UPLOAD_MARK_CHECK_NEED_RECONNECT	Необходимо запустить аплоад повторно.
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	Необходимо запустить аплоад повторно.
USE_ITEM_BUTTON_01	Вернуться немедленно
USE_ITEM_BUTTON_02	Войти
USE_ITEM_FAILURE_PRIVATE_SHOP	Вы не можете пользоваться предметом, когда ваша лавка открыта.
USE_ITEM_POPUP_01	Битва пяти святынь окончена. \n Следующая битва:
USE_ITEM_QUESTION_01	Вы хотите участвовать в Битве пяти святынь?
USE_ITEM_QUESTION_02	Вы хотите вернуться на место, где вас убили?\n Это стоит %s янг.
USE_ITEM_QUESTION_03	Вы перенесетесь в случайное место. Хотите войти?
USE_SKILL_ERROR_UNKNOWN	Неизвестная ошибка навыков: %s
